op: calendar.events.list
variant: 
format_version: 1
count: 5
fields: attendees,end,id,start,status,summary
records: items
kind: "calendar#events"

"[{""email"":""a@example.com"",""responseStatus"":""accepted""},{""email"":""b@example.com"",""responseStatus"":""needsAction""}]","{""dateTime"":""2026-05-25T15:15:00Z""}",ev_a7618f7800,"{""dateTime"":""2026-05-25T15:00:00Z""}",confirmed,Standup #1
"[{""email"":""a@example.com"",""responseStatus"":""accepted""},{""email"":""b@example.com"",""responseStatus"":""needsAction""}]","{""dateTime"":""2026-05-25T15:15:00Z""}",ev_3ecce8499d,"{""dateTime"":""2026-05-25T15:00:00Z""}",confirmed,Standup #2
"[{""email"":""a@example.com"",""responseStatus"":""accepted""},{""email"":""b@example.com"",""responseStatus"":""needsAction""}]","{""dateTime"":""2026-05-25T15:15:00Z""}",ev_027fe4a7a0,"{""dateTime"":""2026-05-25T15:00:00Z""}",confirmed,Standup #3
"[{""email"":""a@example.com"",""responseStatus"":""accepted""},{""email"":""b@example.com"",""responseStatus"":""needsAction""}]","{""dateTime"":""2026-05-25T15:15:00Z""}",ev_4b1e47f0fd,"{""dateTime"":""2026-05-25T15:00:00Z""}",confirmed,Standup #4
"[{""email"":""a@example.com"",""responseStatus"":""accepted""},{""email"":""b@example.com"",""responseStatus"":""needsAction""}]","{""dateTime"":""2026-05-25T15:15:00Z""}",ev_e79d229ec2,"{""dateTime"":""2026-05-25T15:00:00Z""}",confirmed,Standup #5
