op: calendar.events.list
variant: 
format_version: 1
count: 2
fields: attendees,created,creator,end,etag,htmlLink,iCalUID,id,kind,organizer,recurrence,reminders,sequence,start,status,summary,updated
records: items
accessRole: "owner"
description: ""
kind: "calendar#events"
summary: "primary"
timeZone: "America/New_York"
updated: "2026-05-20T10:00:00Z"

,2026-05-01T08:00:00Z,"{""email"":""user@example.com""}","{""dateTime"":""2026-05-22T09:30:00-04:00"",""timeZone"":""America/New_York""}","""1""",https://www.google.com/calendar/event?eid=ev001,ev001@google.com,ev001,calendar#event,"{""email"":""user@example.com""}","[""RRULE:FREQ=DAILY;BYDAY=MO,TU,WE,TH,FR""]","{""useDefault"":true}",0,"{""dateTime"":""2026-05-22T09:00:00-04:00"",""timeZone"":""America/New_York""}",confirmed,Team standup,2026-05-01T08:00:00Z
"[{""email"":""user@example.com"",""responseStatus"":""accepted""},{""email"":""dev@example.com"",""responseStatus"":""needsAction""}]",2026-05-10T09:00:00Z,"{""email"":""pm@example.com""}","{""dateTime"":""2026-05-22T15:00:00-04:00"",""timeZone"":""America/New_York""}","""2""",https://www.google.com/calendar/event?eid=ev002,ev002@google.com,ev002,calendar#event,"{""email"":""pm@example.com""}",,"{""overrides"":[{""method"":""email"",""minutes"":30}],""useDefault"":false}",0,"{""dateTime"":""2026-05-22T14:00:00-04:00"",""timeZone"":""America/New_York""}",confirmed,Product review,2026-05-10T09:00:00Z
